configs,mark
bc8_100,pretrain
bc8_1000,pretrain
bc8_1001,pretrain
bc8_1002,pretrain
bc8_1003,pretrain
bc8_1004,pretrain
bc8_1005,pretrain
bc8_1006,pretrain
bc8_1007,pretrain
bc8_1008,pretrain
bc8_1009,pretrain
bc8_101,pretrain
bc8_1010,pretrain
bc8_1011,pretrain
bc8_1012,pretrain
bc8_1013,pretrain
bc8_1014,pretrain
bc8_1015,pretrain
bc8_1016,pretrain
bc8_1017,pretrain
bc8_1018,pretrain
bc8_1019,pretrain
bc8_102,pretrain
bc8_1020,pretrain
bc8_1021,pretrain
bc8_1022,pretrain
bc8_1023,pretrain
bc8_1024,pretrain
bc8_1025,pretrain
bc8_1026,pretrain
bc8_1027,pretrain
bc8_1028,pretrain
bc8_1029,pretrain
bc8_103,pretrain
bc8_1030,pretrain
bc8_1031,pretrain
bc8_1032,pretrain
bc8_1033,pretrain
bc8_1034,pretrain
bc8_1035,pretrain
bc8_1036,pretrain
bc8_1037,pretrain
bc8_1038,pretrain
bc8_1039,pretrain
bc8_104,pretrain
bc8_1040,pretrain
bc8_1041,pretrain
bc8_1042,pretrain
bc8_1043,pretrain
bc8_1044,pretrain
bc8_1045,pretrain
bc8_1046,pretrain
bc8_1047,pretrain
bc8_1048,pretrain
bc8_1049,pretrain
bc8_105,pretrain
bc8_1050,pretrain
bc8_1051,pretrain
bc8_1052,pretrain
bc8_1053,pretrain
bc8_1054,pretrain
bc8_1055,pretrain
bc8_1056,pretrain
bc8_1057,pretrain
bc8_1058,pretrain
bc8_1059,pretrain
bc8_106,pretrain
bc8_1060,pretrain
bc8_1061,pretrain
bc8_1062,pretrain
bc8_1063,pretrain
bc8_1064,pretrain
bc8_1065,pretrain
bc8_1066,pretrain
bc8_1067,pretrain
bc8_1068,pretrain
bc8_1069,pretrain
bc8_107,pretrain
bc8_1070,pretrain
bc8_1071,pretrain
bc8_1072,pretrain
bc8_1073,pretrain
bc8_1074,pretrain
bc8_1075,pretrain
bc8_1076,pretrain
bc8_1077,pretrain
bc8_1078,pretrain
bc8_1079,pretrain
bc8_108,pretrain
bc8_1080,pretrain
bc8_1081,pretrain
bc8_1082,pretrain
bc8_1083,pretrain
